tempMin,tempMax,cloudCover,humidity,windSpeed,visibility
12.48,17.28,0.56,0.81,3.49,6.19
10.74,19.31,0.52,0.82,3.08,6.16
11.62,16.69,0.65,0.87,3.97,5.5
10.88,15.6,0.64,0.77,6.61,6.22
10.44,15.12,0.6,0.81,2.93,6.19
9.28,14.73,0.64,0.81,2.42,6.19
10.53,15.27,0.72,0.81,5.12,6.18
9.67,15.63,0.7,0.79,5.33,6.12
8.76,15.55,0.72,0.82,6.69,6.19
10.27,15.21,0.75,0.8,5.66,6.12
10.62,14.28,0.82,0.86,1.81,6.07
10.08,16.83,0.36,0.79,5.43,6.22
7.66,15.56,0.45,0.86,3.54,6.09
11.84,19.19,0.69,0.79,5.44,5.82
12.96,18.27,0.73,0.8,6.16,5.59
11.37,19.81,0.85,0.87,3.79,4.67
13.92,17.25,0.71,0.87,4.98,5.64
12.07,16.42,0.89,0.86,5.64,5.57
11.28,16.5,0.48,0.72,4.47,6.22
10.17,16.58,0.38,0.77,4.71,6.17
8.02,19.62,0.25,0.71,3.51,6.22
12.82,19.06,0.84,0.88,4.43,5.82
12.09,15.03,0.74,0.79,7.53,6.22
11.7,16.43,0.7,0.85,6.09,6.09
13.97,22.94,0.78,0.83,4.2,5.82
15.01,28.82,0.36,0.71,2.11,5.13
13.61,22.36,0.52,0.85,3.53,5.8
11.38,22.19,0.53,0.77,3.54,6.12
14.12,19.71,0.84,0.83,3.74,5.88
12.4,19.21,0.85,0.8,3.02,6.22
13.55,16.71,0.89,0.93,1.32,5.26
12.55,16.46,0.75,0.86,6.51,5.95
